name,query_Id,execution_id,execution_state,submitted_at,started_at,completed_at,execution_time,pending_time,rows,report_date
ens_end_dsr_strat,3457769,01HQBFV8ZZWDHH76P5MZDMRECH,QUERY_STATE_COMPLETED,2024-02-23T17:22:43.328691Z,2024-02-23T17:22:44.593278492Z,2024-02-23T17:22:58.747839728Z,14.154,1.264,52882,2024-02-23T22:37:48.394383Z
ens_end_reth_strat,3457772,01HQBFXT1N1HCDJT79PQBK6XAJ,QUERY_STATE_COMPLETED,2024-02-23T17:24:06.325734Z,2024-02-23T17:24:07.675920771Z,2024-02-23T17:25:25.389460749Z,77.713,1.35,776,2024-02-23T22:37:49.037516Z
ens_end_comp_v3_usdc_strat,3457774,01HQBG0FGM8VA63Z61XDJ1PSH0,QUERY_STATE_COMPLETED,2024-02-23T17:25:33.845348Z,2024-02-23T17:25:35.283147709Z,2024-02-23T17:25:43.490337895Z,8.207,1.437,318,2024-02-23T22:37:49.847488Z
ens_end_ankreth_strat,3457775,01HQBJMDJ0Z2BX8CS66MK6F68W,QUERY_STATE_COMPLETED,2024-02-23T18:11:24.353076Z,2024-02-23T18:11:25.680083849Z,2024-02-23T18:11:48.852704454Z,23.172,1.327,398,2024-02-23T22:37:50.567515Z
ens_end_ethx_strat,3457779,01HQBJQB3V82BW1AC0GZ478QWX,QUERY_STATE_COMPLETED,2024-02-23T18:13:00.156446Z,2024-02-23T18:13:01.484792794Z,2024-02-23T18:13:17.628069099Z,16.143,1.328,382,2024-02-23T22:37:51.280123Z
ens_end_aethweth_strat,3457785,01HQBG23HQBH23S0QRYQTATSKC,QUERY_STATE_COMPLETED,2024-02-23T17:26:27.128338Z,2024-02-23T17:26:28.441381209Z,2024-02-23T17:28:50.814912372Z,142.373,1.313,39494,2024-02-23T22:37:52.007974Z
ens_end_spweth_strat,3457788,01HQBG7DGC1X0JDNCDQY3XH4MW,QUERY_STATE_COMPLETED,2024-02-23T17:29:21.16521Z,2024-02-23T17:29:24.166954185Z,2024-02-23T17:30:22.837968229Z,58.671,3.001,7962,2024-02-23T22:37:52.637127Z
ens_end_plugs,3457789,01HQBJG48M66WWVN5T90ZB6Y7P,QUERY_STATE_COMPLETED,2024-02-23T18:09:03.765148Z,2024-02-23T18:09:04.991455653Z,2024-02-23T18:09:05.714343381Z,0.722,1.226,6,2024-02-23T22:37:53.415802Z
ens_end_comp_v3_weth_strat,3457790,01HQBF6BNN2N2YNQERKJPK296C,QUERY_STATE_COMPLETED,2024-02-23T17:11:17.941633Z,2024-02-23T17:11:19.548899221Z,2024-02-23T17:11:27.130944797Z,7.582,1.607,204,2024-02-23T22:37:54.135065Z
ens_acc_main,3457610,01HQBJRKKFBJZ51XCERR43X6J7,QUERY_STATE_COMPLETED,2024-02-23T18:13:41.615515Z,2024-02-23T18:13:43.316516587Z,2024-02-23T18:13:47.432428756Z,4.115,1.701,192652,2024-02-23T22:37:54.951089Z
ens_query_report,3461449,01HQC1TWD0Z8W5MP4PWPZ3WMZT,QUERY_STATE_COMPLETED,2024-02-23T22:37:04.800865Z,2024-02-23T22:37:05.17495979Z,2024-02-23T22:37:05.306234512Z,0.131,0.374,33,2024-02-23T22:37:55.721457Z
